ProductNumber,BrandName,ProductName,Nameless,Country,grams,mL,Pcs,DollarPerKg,Dollars,BusinessName,Location1,HoursMon,HoursTue,HoursWed,HoursThu,HoursFri,HoursSat,HoursSun,Phone
HK000010001,Butterfingers,Pure Butter Shortbread,null,Australia,175,null,null,null,null,Home Gourmet Ltd.,4/F Unit S International Industrial Centre 2-8 Kwei Tei Street Fo Tan; New Territories,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 13:00,Closed,852-9382-3412
HK000010002,Butterfingers,Macadamia Shortbread,null,Australia,175,null,null,null,null,Home Gourmet Ltd.,4/F Unit S International Industrial Centre 2-8 Kwei Tei Street Fo Tan; New Territories,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 13:00,Closed,852-9382-3412
HK000010003,Butterfingers,Chocolate Chip Shortbread,null,Australia,175,null,null,null,null,Home Gourmet Ltd.,4/F Unit S International Industrial Centre 2-8 Kwei Tei Street Fo Tan; New Territories,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 13:00,Closed,852-9382-3412
HK000010004,Jean Larnaudie,Fried Duck Confit,null,France,150,null,null,null,null,Home Gourmet Ltd.,4/F Unit S International Industrial Centre 2-8 Kwei Tei Street Fo Tan; New Territories,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 13:00,Closed,852-9382-3412
HK000010005,Jean Larnaudie,Duck Foie Gras in Port Wine,null,France,200,null,null,null,null,Home Gourmet Ltd.,4/F Unit S International Industrial Centre 2-8 Kwei Tei Street Fo Tan; New Territories,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 13:00,Closed,852-9382-3412
HK000010006,Jean Larnaudie,Duck Foie Gras (Sliced),null,France,100,null,2,null,98,Home Gourmet Ltd.,4/F Unit S International Industrial Centre 2-8 Kwei Tei Street Fo Tan; New Territories,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 13:00,Closed,852-9382-3412
HK000010007,Premium Quality,Buffalo Chicken,null,Thailand,null,null,5,null,null,Home Gourmet Ltd.,4/F Unit S International Industrial Centre 2-8 Kwei Tei Street Fo Tan; New Territories,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 13:00,Closed,852-9382-3412
HK000010008,Premium Quality,Sesame Chicken Wings,null,Thailand,null,null,null,null,null,Home Gourmet Ltd.,4/F Unit S International Industrial Centre 2-8 Kwei Tei Street Fo Tan; New Territories,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 13:00,Closed,852-9382-3412
HK000010009,Premium Quality,Garlic Flavored Breaded Chicken Drumsticks,null,Thailand,null,null,6,null,null,Home Gourmet Ltd.,4/F Unit S International Industrial Centre 2-8 Kwei Tei Street Fo Tan; New Territories,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 13:00,Closed,852-9382-3412
HK000010010,Swift,Prime Sliced Angus Beef,null,USA,312,null,null,385,null,Home Gourmet Ltd.,4/F Unit S International Industrial Centre 2-8 Kwei Tei Street Fo Tan; New Territories,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 13:00,Closed,852-9382-3412
